// 物品品质
"DOTA_Custom_Rarity_Tooltip_1"	"(N)"
 "DOTA_Tooltip_ability_item_time_hourglass_1"							"Hourglass"
 "DOTA_Tooltip_ability_item_time_hourglass_1_physical_armor"			"+$physical_armor"
 "DOTA_Tooltip_ability_item_time_hourglass_1_magical_armor"				"+$magical_armor"
 "DOTA_Tooltip_ability_item_time_hourglass_1_mana_regen"				"+$mana_regen"
 "DOTA_Tooltip_ability_item_time_hourglass_1_description"				"<h1>Time Lapse</h1> Turns the Hourglass once a while. The carrier wraps backward to whatever position they was in %back_time% seconds earlier, regaining the HP, mana, CD status from that time.\n<h1>Time Dilation</h1> Whenever the carrier turns the Hourglass, locks the enemies within %radius% units radius around them for %duration% seconds, extending their cooldowns for %cooldown_add% seconds."
 "DOTA_Tooltip_ability_item_time_hourglass_1_Lore"						"For those facing off against Magic Hourglass, each moment seems to stretch into eternity."
 "DOTA_Tooltip_modifier_item_time_hourglass_1"							"Hourglass"
 "DOTA_Tooltip_modifier_item_time_hourglass_1_description"				"Turning."
 "DOTA_Tooltip_modifier_item_time_hourglass_buff"						"Invisible"
 "DOTA_Tooltip_modifier_item_time_hourglass_buff_description"			"Invisible."

// 忍者用具
"DOTA_Tooltip_ability_item_ninja_tool"									"Bukijutsu"
"DOTA_Tooltip_ability_item_ninja_tool_physical_attack"					"+$physical_attack"
"DOTA_Tooltip_ability_item_ninja_tool_physical_armor"					"+$physical_armor"
"DOTA_Tooltip_ability_item_ninja_tool_magical_armor"					"+$magical_armor"
"DOTA_Tooltip_ability_item_ninja_tool_description"						"<h1>Kawarimi no Jutsu</h1> Kawarimi no Jutsu is a basic Ninjutsu technique. When in danger the carrier will quickly substitute themself with a dummy target and blicks to a random location nearby. The dummy target inherits the aggro and lasts for %duration% seconds. \n<h1>Shuriken</h1> Hurls %dagger_count% Shuriken to enemies around, each dealing Physical Damage as %physical2physical%%% of the carrier's Physical Damage."

// 最终棱镜
"DOTA_Tooltip_ability_item_last_prism"									"Eternal Prism"
"DOTA_Tooltip_ability_item_last_prism_magical_attack"					"+$magical_attack"
"DOTA_Tooltip_ability_item_last_prism_description"						"<h1>Focus</h1>Summons an Eternal Prism that floats in the air. The energy of spells casted by any units around will be transformed into Magical Damage as %magical_factor%%% of the carrier's Magical to a random enemy unit.\n<h1>Halo Wave</h1>After %active_count% casts of Focus, the remaining energy in the Prism are released at once, dealing %active_magical_factor%%% Magical Damage per second, and reducing affected units' %magical_armor_reduce% magic armor. Lasts for %duration% seconds."
"DOTA_Tooltip_ability_item_last_prism_mana_regen"						"+$mana_regen"

// 贤哲密契
"DOTA_Tooltip_ability_item_sage_contract"								"Contract of Sage"
"DOTA_Tooltip_ability_item_sage_contract_physical_armor"				"+$physical_armor"
"DOTA_Tooltip_ability_item_sage_contract_magical_armor"					"+$magical_armor"
"DOTA_Tooltip_ability_item_sage_contract_status_health"					"+$status_health"
"DOTA_Tooltip_ability_item_sage_contract_health_regen"					"+$health_regen"
"DOTA_Tooltip_ability_item_sage_contract_mana_regen"					"+$mana_regen"
"DOTA_Tooltip_ability_item_sage_contract_description"					"<h1>Contract of Sage</h1>Signs a contract with the closest allied unit, inheriting %attribute_pct%%% of his ally's attributes and sharing the healing received.\n<h1>Soulbind</h1>Souls of the units who signed the contract are bound together, making them unkillable unless both's health reaches 0."

// 赤红利刃
"DOTA_Tooltip_ability_item_redsword"									 "Akai Blade"
"DOTA_Tooltip_ability_item_redsword_physical_attack"					 "+$physical_attack"
"DOTA_Tooltip_ability_item_redsword_attack_helf"						 "%+$attack_helf"


//日月星辉剑
"DOTA_Tooltip_ability_item_sunshine_sword_1"							"Excalibur"
"DOTA_Tooltip_ability_item_sunshine_sword_1_physical_attack"	        "+$physical_attack"
"DOTA_Tooltip_ability_item_sunshine_sword_1_attack_speed_percentage"	"%+$attack_speed_percentage"
"DOTA_Tooltip_ability_item_sunshine_sword_1_description"				"<h1>Excalibur's Order</h1>Grants each attack a %chance%%% chance to unleash a wave of energy, dealing Physical damage as %damage_factor%%% of the carrier's attack damage. Enemies hitten by Excalibur will be disarmed for %disarm_duration% seconds."
"DOTA_Tooltip_ability_item_sunshine_sword_1_Lore"						"SunShine"

//冰霜之心
 "DOTA_Tooltip_ability_item_frozen_heart_1"								"Algid's Magic Stone"
 "DOTA_Tooltip_ability_item_frozen_heart_1_description"					"\n<h1>Heart of Queen</h1>Grants the carrier a %chance%%% chance to freeze the enemies who attack him."
 "DOTA_Tooltip_ability_item_frozen_heart_1_magical_armor"				"+$magical_armor"
 "DOTA_Tooltip_ability_item_frozen_heart_1_physical_armor"				"+$physical_armor"
 "DOTA_Tooltip_ability_item_frozen_heart_1_Lore"						"A beating heart from the Snow Queen was sealed in this magic stone by a wizard named Algid."
 "DOTA_Tooltip_modifier_item_frozen_heart_1_description"				"Freeze your enemy!"
 "DOTA_Tooltip_modifier_item_frozen_heart_1"							"Frozen."

//亡灵法书
 "DOTA_Tooltip_ability_item_ghostest_book"								"Necronomicon"
 "DOTA_Tooltip_ability_item_ghostest_book_description"					"\n<h1>Necromancy</h1>Restores the carrier's mana whenever he casts a spell."
 "DOTA_Tooltip_ability_item_ghostest_book_magical_crit_chance"			"%+$magical_crit_chance"
 "DOTA_Tooltip_ability_item_ghostest_book_magical_crit_damage"			"%+$magical_crit_damage"
  "DOTA_Tooltip_ability_item_ghostest_book_magical_attack"			    "+$magical_attack"
 "DOTA_Tooltip_ability_item_ghostest_book_Lore"							"This is the undead power that the living cannot ever imagine."


//天使遗物
 "DOTA_Tooltip_ability_item_angel_relics_1"								"Angel Relic"
 "DOTA_Tooltip_ability_item_angel_relics_1_magical_attack"				"+$magical_attack"
 "DOTA_Tooltip_ability_item_angel_relics_1_description"					"<h1>Afterglow</h1>Grants each attack a %chance%%% chance to punish enemies, dealing %ori_damage_pct%%% Magical Damage to the main target,  %around_damage_pct%%% damage to enemy units within a radius of %range% units and stunning them for %stun_duration% seconds."
 "DOTA_Tooltip_ability_item_angel_relics_1_Lore"						"Was left in Lostland by a careless angel in ancient times."

// 未鉴定的装备(N)
 "DOTA_Tooltip_ability_item_unknowned_item_1"							"Unidentified Item(N)"
 "DOTA_Tooltip_ability_item_unknowned_item_1_description"				"Redeem a random N item."
 "DOTA_Tooltip_ability_item_unknowned_item_1_Lore"						"Too common to be treated with caution."
// 未鉴定的装备(R)
 "DOTA_Tooltip_ability_item_unknowned_item_2"							"Unidentified Item(R)"
 "DOTA_Tooltip_ability_item_unknowned_item_2_description"				"Redeem a random R item."
 "DOTA_Tooltip_ability_item_unknowned_item_2_Lore"						"This is the most popular item in the bargain market."
// 未鉴定的装备(SR)
 "DOTA_Tooltip_ability_item_unknowned_item_3"							"Unidentified Item(SR)"
 "DOTA_Tooltip_ability_item_unknowned_item_3_description"				"Redeem a random SR item."
 "DOTA_Tooltip_ability_item_unknowned_item_3_Lore"						"If it weren’t for the need for money, no one would sell this kind of treasure."
// 未鉴定的装备(SSR)
 "DOTA_Tooltip_ability_item_unknowned_item_4"							"Unidentified Item(SSR)"
 "DOTA_Tooltip_ability_item_unknowned_item_4_description"				"Redeem a random SSR item."
 "DOTA_Tooltip_ability_item_unknowned_item_4_Lore"						"The rarest treasure in Lostland, only appears in legends."

//轻语吊坠
 "DOTA_Tooltip_ability_item_light_speaker_amulet"								"Whisper Amulet"
 "DOTA_Tooltip_ability_item_light_speaker_amulet_description"					"<h1>Whisper</h1>Delays %damage_pct%%% of damage taken. Damage delayed will be dealt on the carrier guadually during %delay% seconds."
 "DOTA_Tooltip_modifier_item_light_speaker_amulet"								"Whisper Amulet"
 "DOTA_Tooltip_modifier_item_light_speaker_amulet_Description"					"Taken damage delay"  

//碾压权杖
 "DOTA_Tooltip_ability_item_rolling_staff"								"Scepter of Authority"
 "DOTA_Tooltip_ability_item_rolling_staff_attack_speed"					"+$attack_speed"
 "DOTA_Tooltip_ability_item_rolling_staff_description"					"<h1>Authority</h1>After %count% attacks, the carrier's next attack deals %damage_pct%%% damage to enemies within a radius of %radius% units."

//掘金铲子
"DOTA_Tooltip_ability_item_gold_shovel" "Trusty Shovel"
"DOTA_Tooltip_ability_item_gold_shovel_Description" "Grants survived hereos a %chance%%% chance to loot extra Gold/Soul Crystal."

//长弓
"DOTA_Tooltip_ability_item_long_bow" "Long Bow"
"DOTA_Tooltip_ability_item_long_bow_Description" "【Hunter's Aiming】Deals %damage_bonus_pct%%% bonus damage to enemies outside %distance% units."

//冰霜药剂
"DOTA_Tooltip_ability_item_frost_potion" "Algid's Decoction"
"DOTA_Tooltip_ability_item_frost_potion_Description" "Made by a Frost Wizard whose name is Algid. Whoever drank the decoction would have his skin frozen that absorbs damage as %health_shield_pct%%% health and is immune to stuns. Once the icy 【Shield】 is smashed, scattered ice flakes will freeze nearby enemies by %duration% seconds. The damage absorbing of 【Shiled】 is calculated before armor."

//强攻装甲
"DOTA_Tooltip_ability_item_assault_armor" "Assault Cuirass"
"DOTA_Tooltip_ability_item_assault_armor_Description" "+200 Physical Armor, +200 Magic armor. 【Assault】 Deals %damage_bonus_pct%%% bonus damage to enemies within a radius of %radius% units."

//残忍短剑
"DOTA_Tooltip_ability_item_cruel_dagger" "Ruling Dagger"
"DOTA_Tooltip_ability_item_cruel_dagger_Description" "【Armor Piercing】 Attacks with Ruling Dagger ignores %igore_armor_pct%%% of the targets' armor and armor. 【Ruling】Deals %damage_bonus_pct%%% bonus damage to targets that have more than %health_trigger%%% health."

//魔爆匕首
"DOTA_Tooltip_ability_item_manablast_dagger" "Explosion Kunai"
"DOTA_Tooltip_ability_item_manablast_dagger_Description" "【Armor Piercing】Attacks with Explosion Kunai ignores %igore_armor_pct%%% of the targets' armor and armor. 【Explosive Poison】The wound cut by the Kunai will burst open again and deals magical damage as %mana_cost_pct%%% of the target's lost mana."

//淬毒钉刺
"DOTA_Tooltip_ability_item_poison_sting" "Poison Sting"
"DOTA_Tooltip_ability_item_poison_sting_Description" "Grants each attack a %chance%%% chance to Poison the target. Each stack of Poison deals 30 Magical Damage per second."

"DOTA_Tooltip_ability_item_insight_order" "Order of Insight"
"DOTA_Tooltip_ability_item_insight_order_Description" "+100 Magical Damage. Grants the carrier a %chance%%% chance to recast the spell."

"DOTA_Tooltip_ability_item_lightning_whip" "Thunder Whip"
"DOTA_Tooltip_ability_item_lightning_whip_attack_speed" "+$attack_speed"
"DOTA_Tooltip_ability_item_lightning_whip_Description" "<h1>Whip</h1>While attacking, the carrier also whips his target up to %lightning_count% strikes. Each whip strike deals %damage_pct%%% magic damage as his attack damage and temporarily paralyze the target. Paralyzed units cannot move and takes %damage_per_tick%%% magical damage as the carrier's damage per second."
"DOTA_Tooltip_modifier_item_lightning_whip_root"                "Thunder Whip"
"DOTA_Tooltip_modifier_item_lightning_whip_root_Description"    "Take %dMODIFIER_PROPERTY_TOOLTIP% magical damage every seconds"


//圣洁法衣
"DOTA_Tooltip_ability_item_holy_shroud" "Holy Shroud"
"DOTA_Tooltip_ability_item_holy_shroud_magical_helf" "%+$magical_helf"
"DOTA_Tooltip_ability_item_holy_shroud_magical_armor" "+$magical_armor"
"DOTA_Tooltip_ability_item_holy_shroud_health_regen_pct" "%+$health_regen"
"DOTA_Tooltip_ability_item_holy_shroud_Description" "<h1>blessing</h1>When health reduce %trigger_health_pct%%%，create a [%shield_pct%%% user lose hp] shield avoid damage"
"DOTA_Tooltip_modifier_item_holy_shroud_buff"               "Holy Shroud"
"DOTA_Tooltip_modifier_item_holy_shroud_buff_Description"   "Can absorb %dMODIFIER_PROPERTY_TOOLTIP%damage"

//代达罗斯
"DOTA_Tooltip_ability_item_daedalus"							"Daedalus"
"DOTA_Tooltip_ability_item_daedalus_physical_attack"			"+$physical_attack"
"DOTA_Tooltip_ability_item_daedalus_description"				"<h1>Crit</h1> every attack get %crit_chance%%% chance take %crit_damage_pct%%% extra damage"
"DOTA_Tooltip_modifier_item_daedalus"							"Daedalus"
"DOTA_Tooltip_modifier_item_daedalus_description"				"every attack get %dMODIFIER_PROPERTY_TOOLTIP%%% chance cause %dMODIFIER_PROPERTY_TOOLTIP%%% damage"

//天使战刃
"DOTA_Tooltip_ability_item_angle_blade"							"Angle Blade"
"DOTA_Tooltip_ability_item_angle_blade_attack_speed"			"+$attack_speed"
"DOTA_Tooltip_ability_item_angle_blade_attack_miss"				"%+$attack_miss"
"DOTA_Tooltip_ability_item_angle_blade_magical_attack"		    "+$magical_attack"
"DOTA_Tooltip_ability_item_angle_blade_description"				"<h1>Hunt</h1>provide %movespeed_pct%%% movespeed and %attack_speed_pct%%% attack speed also %cooldown_pct%%% ability cooldown when any ability is not ready."

//七星灯
"DOTA_Tooltip_ability_item_reincarnation_lamp"							"reincarnation lamp"
"DOTA_Tooltip_ability_item_reincarnation_lamp_health_regen"			    "+$health_regen"
"DOTA_Tooltip_ability_item_reincarnation_lamp_status_health"			"+$status_health"
"DOTA_Tooltip_ability_item_reincarnation_lamp_description"				"<h1>evocation</h1>every alies except owner will resurrect after %duration% second. And increase %health_regen_bonus% health regen untill end of the game\n<h1>Life-steal</h1>Steal all the max health heroes health regen and health restoration effect. Every %interval% seconds provide %heal_pct%%% health regen to injured allies"

//远古星盘
"DOTA_Tooltip_ability_item_ancient_astrolabe"							"Ancient chart"
"DOTA_Tooltip_ability_item_ancient_astrolabe_status_health"				"+$status_health"
"DOTA_Tooltip_ability_item_ancient_astrolabe_description"				"<h1>fire of purgatory</h1>Deal %health_damage_pct%%% of equiper max health to %radius% enemies every %interval% second. Purify all negative effects in %duration% second and restore %heal_pct%%% of health pool，enemies will take same effect damage。\n<h1>Purify</h1>Get incoming damage reduction effct base on lose health ratio，%min_health_pct%%% of health has %damage_reduce_max_pct%%% damage reduction"

//恶魔之戒
"DOTA_Tooltip_ability_item_demon_ring"									"D Ring"
"DOTA_Tooltip_ability_item_demon_ring_health_regen"						"+$health_regen"
"DOTA_Tooltip_ability_item_demon_ring_description"						"<h1>Trade</h1>Deal personal %health_cost_pct%%% of current health to refresh every abilities and recover mana every %interval% second "

//领袖证明
"DOTA_Tooltip_ability_item_leader_certificate"						    "Certificate"
"DOTA_Tooltip_ability_item_leader_certificate_status_health"			"+$status_health"
"DOTA_Tooltip_ability_item_leader_certificate_physical_armor"			"+$physical_armor"
"DOTA_Tooltip_ability_item_leader_certificate_magical_armor"			"+$magical_armor"
"DOTA_Tooltip_ability_item_leader_certificate_description"				"<h1>charming</h1>If commander survive %interval% second，commander itself and its %radius% ranged allies increase health regen,armor and attack speed<br><br>Survive%time_max% second could reach the max bonus effect until end of the game"
"DOTA_Tooltip_modifier_item_leader_certificate_buff"				    "Charming"
"DOTA_Tooltip_modifier_item_leader_certificate_buff_Description"		"Attack speed increase %dMODIFIER_PROPERTY_TOOLTIP%<br>Health regen increase%dMODIFIER_PROPERTY_TOOLTIP%<br>Physical armor increase%dMODIFIER_PROPERTY_TOOLTIP%<br>magical armor increase%dMODIFIER_PROPERTY_TOOLTIP%"
"DOTA_Tooltip_modifier_item_leader_certificate"				            "Charming Certificate"
"DOTA_Tooltip_modifier_item_leader_certificate_Description"		        "provide extra bonus base on commander charming"

//火精灵权杖
"DOTA_Tooltip_ability_item_fire_elf_scepter"						    "Fire Elf Scepter"
"DOTA_Tooltip_ability_item_fire_elf_scepter_physical_armor"			    "+$physical_armor"
"DOTA_Tooltip_ability_item_fire_elf_scepter_magical_armor"			    "+$magical_armor"
"DOTA_Tooltip_ability_item_fire_elf_scepter_description"				"<h1>Blessing of Fire Elf</h1>Provide extra %health_regen% health regen, %incoming_reduce%%% damage reduce and %magical_strengthen%%% magical damage for per %stack% Ignite stacks in %radius% range in total"
"DOTA_Tooltip_modifier_item_fire_elf_scepter"				            "Blessing of Fire Elf"
"DOTA_Tooltip_modifier_item_fire_elf_scepter_Description"		        "+ %dMODIFIER_PROPERTY_TOOLTIP% health regen<br>+ %dMODIFIER_PROPERTY_TOOLTIP%%% damage reduce<br>+ %dMODIFIER_PROPERTY_TOOLTIP%%% magical damage"

//烈焰之刃
"DOTA_Tooltip_ability_item_blade_of_flame"						        "Blade of Flame"
"DOTA_Tooltip_ability_item_blade_of_flame_magical_attack"			    "+$magical_attack"
"DOTA_Tooltip_ability_item_blade_of_flame_attack_speed"			        "+$attack_speed"
"DOTA_Tooltip_ability_item_blade_of_flame_magical_strengthen"			"%+ magical damage"
"DOTA_Tooltip_ability_item_blade_of_flame_description"				    "<h1>Flame Field</h1>Add %ignite_count% ignite stacks for enemy units in %radius% range  \n<h1>Flame Revenge</h1>Deal additional Ignite Stacks * Magical Attack * %damage_per_count%%% magical damage for %attack_count% basic attacks"
"DOTA_Tooltip_modifier_item_blade_of_flame"				                "Flame Field"
"DOTA_Tooltip_modifier_item_blade_of_flame"		                        "Continue to ignite enemy units"
