"DOTA_Tooltip_modifier_star_indicator" 		"星级"
"DOTA_Tooltip_ability_death_prophetA_1_Description" 		"对数个敌人进行生命虹吸，造成持续伤害。若敌人被诅咒则造成额外伤害。"
"DOTA_Tooltip_ability_death_prophetA_1_radius" 				"影响范围："
"DOTA_Tooltip_ability_death_prophetA_1_target_count" 					"最大虹吸数量："
"DOTA_Tooltip_ability_death_prophetA_1_interval" 					"伤害间隔："
"DOTA_Tooltip_ability_death_prophetA_1_magical_factor" 				"%虹吸伤害：魔法攻击*"
"DOTA_Tooltip_ability_death_prophetA_1_abilityduration" 						"持续时间："
"DOTA_Tooltip_ability_death_prophetA_1_curse_damage_pct" 				"%诅咒额外伤害：魔法攻击*"
"DOTA_Tooltip_modifier_death_prophetA_1_debuff" "灵魂汲取"
"DOTA_Tooltip_modifier_death_prophetA_1_debuff_Description" "每秒损失生命值。"
"DOTA_Tooltip_ability_death_prophetA_2" "枯竭诅咒"
"DOTA_Tooltip_ability_death_prophetA_2_Description" 		"死亡预言家在场时，所有被诅咒的敌人，都会获得受到伤害加深效果。"
"DOTA_Tooltip_ability_death_prophetA_2_damage_pct" 			"%伤害加深：诅咒层数*"
"DOTA_Tooltip_ability_death_prophetA_2_max_stack" 			"最大诅咒层数："
"DOTA_Tooltip_modifier_death_prophetA_2_debuff"						"枯竭诅咒"
"DOTA_Tooltip_modifier_death_prophetA_2_debuff_Description"			"受到的伤害增加"
"DOTA_Tooltip_ability_death_prophetA_3" "死灵幽魂"
"DOTA_Tooltip_ability_death_prophetA_3_Description" 		"召唤数个死灵幽魂助战，死灵幽魂攻击造成伤害和诅咒效果。"
"DOTA_Tooltip_ability_death_prophetA_3_spirits" 			"幽魂数量："
"DOTA_Tooltip_ability_death_prophetA_3_magical2magical" 				"%攻击伤害：魔法攻击*"
"DOTA_Tooltip_ability_death_prophetA_3_abilityduration" 				"幽魂持续时间："
"DOTA_Tooltip_ability_death_prophetA_3_curse_duration" 		"诅咒持续时间："
"DOTA_Tooltip_modifier_death_prophetA_3_buff" "死灵幽魂"
"DOTA_Tooltip_modifier_death_prophetA_3_buff_Description" "死灵幽魂会持续存在一段时间"

// 流浪骑士
"DOTA_Tooltip_ability_sven_1" "风暴之拳"
"DOTA_Tooltip_ability_sven_1_Description" "流浪骑士随风暴之拳一起冲向敌人，造成范围伤害与晕眩。"
"DOTA_Tooltip_ability_sven_1_physical2physical" "%拳击伤害：物理攻击*"
"DOTA_Tooltip_ability_sven_1_bolt_aoe" "作用范围："
"DOTA_Tooltip_ability_sven_1_bolt_stun_duration" "晕眩时间："
"DOTA_Tooltip_modifier_sven_1_motion" "风暴之拳"
"DOTA_Tooltip_modifier_sven_1_motion_Description" "泰罗之力"
"DOTA_Tooltip_ability_sven_2" "神之力量"
"DOTA_Tooltip_ability_sven_2_Description" "流浪骑士激发隐藏的神之力量，自身获得短暂的生命值和物理攻击提升。"
"DOTA_Tooltip_ability_sven_2_damage_pct" 	"%物理攻击提升："
"DOTA_Tooltip_ability_sven_2_health_pct" 	"%生命值提升："
"DOTA_Tooltip_ability_sven_2_abilityduration" 		"持续时间："
"DOTA_Tooltip_modifier_sven_2_buff" "神之力量"
"DOTA_Tooltip_modifier_sven_2_buff_Description" "流浪骑士这下牛逼了。"
"DOTA_Tooltip_ability_sven_3" "圣盾"
"DOTA_Tooltip_ability_sven_3_Description" "流浪骑士挥舞圣盾激励友方作战，使友方获得护盾加持，并且普攻附加纯粹伤害。"
"DOTA_Tooltip_ability_sven_3_armor_health_pct" "%护盾生命值：最大生命值*"
"DOTA_Tooltip_ability_sven_3_pure_damage" 	"%附加纯粹伤害：物理攻击力*"
"DOTA_Tooltip_ability_sven_3_abilityduration" 		"持续时间："
// "DOTA_Tooltip_modifier_sven_3" "圣盾光环"
// "DOTA_Tooltip_modifier_sven_3_Description" "提高周围队友攻击力。"
"DOTA_Tooltip_modifier_sven_3_buff" "圣盾"
"DOTA_Tooltip_modifier_sven_3_buff_Description" "攻击附加%dMODIFIER_PROPERTY_TOOLTIP%点纯粹伤害，并且增加%dMODIFIER_PROPERTY_TOOLTIP2%点物理和魔法护甲"

// 亡灵船长
"DOTA_Tooltip_ability_kunkkaB_1" "一刀流"
"DOTA_Tooltip_ability_kunkkaB_1_Description" "昆卡发动火铳对大范围的目标造成伤害，并短暂减少其攻速、移速与物理护甲。"
"DOTA_Tooltip_ability_kunkkaB_1_lore" "大人，时代变了。"
"DOTA_Tooltip_ability_kunkkaB_1_physical2physical"  "%伤害：物理攻击*"
"DOTA_Tooltip_ability_kunkkaB_1_armor_reduce"       "物理护甲减少："
"DOTA_Tooltip_ability_kunkkaB_1_abilityduration"    "减甲持续时间："
"DOTA_Tooltip_ability_kunkkaB_1_distance"           "最远伤害距离："
"DOTA_Tooltip_ability_kunkkaB_1_speed_reduce"       "%攻速移速降低："
"DOTA_Tooltip_modifier_kunkkaB_1_debuff"						"一刀流"
"DOTA_Tooltip_modifier_kunkkaB_1_debuff_Description"			"被火铳偷袭后暂时失去部分防御能力。"
"DOTA_Tooltip_ability_kunkkaB_2" "幽灵船"
"DOTA_Tooltip_ability_kunkkaB_2_Description" "召唤一艘幽灵船，对撞击的敌人造成伤害和眩晕。对寒冷诅咒下的敌人造成双倍伤害。"
"DOTA_Tooltip_ability_kunkkaB_2_stun_radius" 		"作用范围："
"DOTA_Tooltip_ability_kunkkaB_2_damage_factor" 		"%撞击伤害：物理攻击*"
"DOTA_Tooltip_ability_kunkkaB_2_abilityduration" 	"晕眩时间："
"DOTA_Tooltip_ability_kunkkaB_3" "潮汐使者"
"DOTA_Tooltip_ability_kunkkaB_3_Description" "每隔一段时间，下一次攻击召唤巨浪，对敌人造成伤害和寒冷诅咒。冷却状态下亡灵船长还会获得被动攻速加成。"
"DOTA_Tooltip_ability_kunkkaB_3_distance" "巨浪最大距离："
"DOTA_Tooltip_ability_kunkkaB_3_physical2physical" "%巨浪伤害：物理攻击*"
"DOTA_Tooltip_ability_kunkkaB_3_abilityduration" "诅咒持续时间："
"DOTA_Tooltip_ability_kunkkaB_3_attackspeed" "额外攻速："

// 鬼面武士
"DOTA_Tooltip_ability_juggernaut_1" "迅风斩"
"DOTA_Tooltip_ability_juggernaut_1_Description" "鬼面武士疾速斩击，对路径上的敌人造成暴击并短暂提升攻速。"
"DOTA_Tooltip_ability_juggernaut_1_distance" "斩击距离："
"DOTA_Tooltip_ability_juggernaut_1_crit_mult" "%暴击伤害："
"DOTA_Tooltip_ability_juggernaut_1_attackspeed" "攻击速度提升："
"DOTA_Tooltip_ability_juggernaut_1_abilityduration" "持续时间："
"DOTA_Tooltip_ability_juggernaut_1_Lore" "- 迅风斩击杀敌人后立即刷新该技能"
"DOTA_Tooltip_modifier_juggernaut_1_buff"						"迅风斩"
"DOTA_Tooltip_modifier_juggernaut_1_buff_Description"			"短暂提升%dMODIFIER_PROPERTY_TOOLTIP%点攻击速度"
"DOTA_Tooltip_ability_juggernaut_2" "剑舞"
"DOTA_Tooltip_ability_juggernaut_2_Description" "每使用%unlock_count%次迅风斩，下次迅风斩会造成多次斩击。"
"DOTA_Tooltip_ability_juggernaut_2_slash_count" "斩击次数："
"DOTA_Tooltip_modifier_juggernaut_2"						"剑舞"
"DOTA_Tooltip_modifier_juggernaut_2_Description"			"迅风斩一定次数后触发剑舞"
"DOTA_Tooltip_modifier_juggernaut_2_slash"					"剑舞"
"DOTA_Tooltip_modifier_juggernaut_2_slash_Description"		"迅风斩造成%dMODIFIER_PROPERTY_TOOLTIP%次斩击"
"DOTA_Tooltip_ability_juggernaut_3" "旋风斩"
"DOTA_Tooltip_ability_juggernaut_3_Description" "鬼面武士在%abilityduration%秒内不断攻击前方的敌人，然后反弹在此期间受到的伤害。"
"DOTA_Tooltip_ability_juggernaut_3_interval" "攻击间隔："
"DOTA_Tooltip_ability_juggernaut_3_radius" "旋风斩范围："
"DOTA_Tooltip_ability_juggernaut_3_physical_factor" "%旋风斩伤害：承受伤害*"
"DOTA_Tooltip_ability_juggernaut_3_Lore" "- 旋风斩只能反弹造成物理伤害的弹道攻击"
"DOTA_Tooltip_modifier_juggernaut_3_buff"						"旋风斩"
"DOTA_Tooltip_modifier_juggernaut_3_buff_Description"			"反弹伤害中"

// G8
"DOTA_Tooltip_ability_faceless_void_1" "时间锁定"
"DOTA_Tooltip_ability_faceless_void_1_Description" "攻击有概率将敌人锁定在时间中，造成额外伤害和眩晕。"
"DOTA_Tooltip_ability_faceless_void_1_chance" "%锁定概率："
"DOTA_Tooltip_ability_faceless_void_1_physical2physical" "%锁定伤害：物理攻击*"
"DOTA_Tooltip_ability_faceless_void_1_abilityduration" "锁定时间："
"DOTA_Tooltip_modifier_lock"						"时间锁定"
"DOTA_Tooltip_modifier_lock_Description"			"被锁定在时间中无法动弹"
"DOTA_Tooltip_ability_faceless_void_2" "雷电之锤"
"DOTA_Tooltip_ability_faceless_void_2_Description" "触发时间锁定时，额外触发连环闪电，在敌人间弹跳并造成伤害。"
"DOTA_Tooltip_ability_faceless_void_2_physical2magical" "%闪电伤害：物理攻击*"
"DOTA_Tooltip_ability_faceless_void_2_jump_count" "弹跳次数："
"DOTA_Tooltip_ability_faceless_void_2_jump_radius" "弹跳范围："
"DOTA_Tooltip_ability_faceless_void_3" "时间漫游"
"DOTA_Tooltip_ability_faceless_void_3_Description" "跳跃到目标位置并对周围的敌人发动一次时间锁定，同时回溯几秒之内受到的伤害。"
"DOTA_Tooltip_ability_faceless_void_3_radius" "时间锁定范围："
"DOTA_Tooltip_ability_faceless_void_3_restore_time" "回溯时间："
"DOTA_Tooltip_modifier_faceless_void_3_motion" "时间漫游"
"DOTA_Tooltip_modifier_faceless_void_3_motion_Description" "高维凝视"

// 星隐 
"DOTA_Tooltip_ability_anti_mage_1"                  "噬魔刀"
"DOTA_Tooltip_ability_anti_mage_1_Description"      "普通攻击可以净化敌人的全部增益效果，永久增加星隐的法力上限，并造成额外伤害。"
"DOTA_Tooltip_ability_anti_mage_1_mana_bonus_pct"   "%额外伤害：法力上限*"
"DOTA_Tooltip_ability_anti_mage_1_mana_regain"      "每次法力上限提升："
"DOTA_Tooltip_ability_anti_mage_1_mana_recover_pct" "%每次攻击法力回复："
"DOTA_Tooltip_modifier_anti_mage_1"                 "噬魔"
"DOTA_Tooltip_modifier_anti_mage_1_Description"     "噬魔刀点数，每点提供1点魔法上限。"
"DOTA_Tooltip_ability_anti_mage_2"                  "亏损之力"
"DOTA_Tooltip_ability_anti_mage_2_Description"      "闪烁至敌人身边造成范围伤害和眩晕，随后为附近的友方张开护盾，护盾可以叠加并且在达到抵挡上限前不会消失。"
"DOTA_Tooltip_ability_anti_mage_2_radius"           "作用范围："
"DOTA_Tooltip_ability_anti_mage_2_mana_rate_damage" "伤害：法力上限*"
"DOTA_Tooltip_ability_anti_mage_2_mana_rate_armor" 	"护盾：法力上限*"
"DOTA_Tooltip_ability_anti_mage_2_stun_duration"    "眩晕时间："
"DOTA_Tooltip_modifier_anti_mage_2_break"           "亏损之力"
"DOTA_Tooltip_modifier_anti_mage_2_break_Description" "抵挡%dMODIFIER_PROPERTY_TOOLTIP%点伤害"
"DOTA_Tooltip_ability_anti_mage_3"                  "满盈之力"
"DOTA_Tooltip_ability_anti_mage_3_Description"      "星隐引爆法力虚空，造成范围伤害和眩晕。"
"DOTA_Tooltip_ability_anti_mage_3_radius"           "作用范围："
"DOTA_Tooltip_ability_anti_mage_3_stun_duration"    "眩晕时间："
"DOTA_Tooltip_ability_anti_mage_3_mana_damage_pct"  "%伤害：法力上限*物理攻击*"

// 火女
"DOTA_Tooltip_ability_lina_1" "火龙炎弹"
"DOTA_Tooltip_ability_lina_1_Description" "纵火少女每攻击数次会释放火龙炎弹，对路径上的敌人造成伤害。"
"DOTA_Tooltip_ability_lina_1_attack_count" "攻击次数："
"DOTA_Tooltip_ability_lina_1_magical2magical" "%火龙伤害：魔法攻击*"
"DOTA_Tooltip_ability_lina_1_dragon_slave_distance" "最大距离："
"DOTA_Tooltip_ability_lina_2" "火神降临"
"DOTA_Tooltip_ability_lina_2_Description" "召唤火神阵伤害并眩晕敌人。并且每次施法后叠加一层炽魂状态，短暂提升攻击速度。"
"DOTA_Tooltip_ability_lina_2_aoe_radius" "作用范围："
"DOTA_Tooltip_ability_lina_2_magical2magical" "%火神伤害：魔法攻击*"
"DOTA_Tooltip_ability_lina_2_stun_duration" "眩晕时间："
"DOTA_Tooltip_ability_lina_2_attackspeed" "炽魂攻速提升："
"DOTA_Tooltip_ability_lina_2_abilityduration" "炽魂持续时间："
"DOTA_Tooltip_modifier_lina_2_buff"             "炽魂"
"DOTA_Tooltip_modifier_lina_2_buff_Description" "攻击速度增加%dMODIFIER_PROPERTY_TOOLTIP%"
"DOTA_Tooltip_ability_lina_3" "终结之火"
"DOTA_Tooltip_ability_lina_3_Description" 		"纵火少女每次攻击都有概率释放终结之火，造成超高伤害。"
"DOTA_Tooltip_ability_lina_3_chance" 		"%概率："
"DOTA_Tooltip_ability_lina_3_magical2magical" 	"%终结伤害：魔法攻击*"

// 星界门卫
"DOTA_Tooltip_ability_vengeful_spirit_1" "加害"
"DOTA_Tooltip_ability_vengeful_spirit_1_Description" "普通攻击额外造成基于敌人当前已损失生命值的物理伤害。"
"DOTA_Tooltip_ability_vengeful_spirit_1_reduce_health_pct" 	"%已损失生命值伤害系数："
"DOTA_Tooltip_ability_vengeful_spirit_1_max_damage" "额外伤害上限："
"DOTA_Tooltip_ability_vengeful_spirit_2" "星门"
"DOTA_Tooltip_ability_vengeful_spirit_2_Description" "自己前方召唤一道门，越过门的敌人会被减速并且降低物理护甲。"
"DOTA_Tooltip_ability_vengeful_spirit_2_duration" "星门持续时间："
"DOTA_Tooltip_ability_vengeful_spirit_2_length" "星门长度："
"DOTA_Tooltip_ability_vengeful_spirit_2_slow_duration" "减速持续时间："
"DOTA_Tooltip_ability_vengeful_spirit_2_slow_pct" "%移动速度减少："
"DOTA_Tooltip_ability_vengeful_spirit_2_physical_armor_reduce_pct" "%物理护甲降低："
"DOTA_Tooltip_modifier_vengeful_spirit_2_debuff" "星门"
"DOTA_Tooltip_modifier_vengeful_spirit_2_debuff_Description" "护甲减少%dMODIFIER_PROPERTY_TOOLTIP%%%"
"DOTA_Tooltip_modifier_vengeful_spirit_2_debuff_slow" "星门"
"DOTA_Tooltip_modifier_vengeful_spirit_2_debuff_slow_Description" "移动速度减少%dMODIFIER_PROPERTY_TOOLTIP%%%"
"DOTA_Tooltip_ability_vengeful_spirit_3" "危险适应"
"DOTA_Tooltip_ability_vengeful_spirit_3_Description" "每当受到魔法伤害时，提升魔法护甲。受到物理伤害时，提升物理护甲，回合结束时重置。"
"DOTA_Tooltip_ability_vengeful_spirit_3_physical_armor_bonus" "物理护甲提升："
"DOTA_Tooltip_ability_vengeful_spirit_3_magical_armor_bonus" "魔法护甲提升："
"DOTA_Tooltip_modifier_vengeful_spirit_3_physical_armor" "危险适应"
"DOTA_Tooltip_modifier_vengeful_spirit_3_physical_armor_Description" "物理护甲提升：%dMODIFIER_PROPERTY_TOOLTIP%点"
"DOTA_Tooltip_modifier_vengeful_spirit_3_magical_armor" "危险适应"
"DOTA_Tooltip_modifier_vengeful_spirit_3_magical_armor_Description" "魔法护甲提升：%dMODIFIER_PROPERTY_TOOLTIP%点"

// 邪眼骑士
"DOTA_Tooltip_ability_chaos_knight_1" "地狱审判"
"DOTA_Tooltip_ability_chaos_knight_1_Description" 	"邪眼骑士的普通攻击有概率造成伤害不稳定的暴击，触发暴击时提供吸血效果。"
"DOTA_Tooltip_ability_chaos_knight_1_chance" 	"%暴击概率："
"DOTA_Tooltip_ability_chaos_knight_1_crit_mult_min" 	"%最低暴击伤害："
"DOTA_Tooltip_ability_chaos_knight_1_crit_mult_max" 	"%最高暴击伤害："
"DOTA_Tooltip_ability_chaos_knight_1_lifesteal_pct" 	"%暴击吸血："
"DOTA_Tooltip_ability_chaos_knight_2" "混乱投掷"
"DOTA_Tooltip_ability_chaos_knight_2_Description" 	"扔出数个投掷物，对周围的敌人造成随机伤害，并眩晕随机时间。"
"DOTA_Tooltip_ability_chaos_knight_2_min_count" 				"最小投掷数量："
"DOTA_Tooltip_ability_chaos_knight_2_max_count" 				"最大投掷数量："
"DOTA_Tooltip_ability_chaos_knight_2_damage_pct" 				"%最小额外伤害：物理攻击*"
"DOTA_Tooltip_ability_chaos_knight_2_damage_pct_d" 				"%最大额外伤害：物理攻击*"
"DOTA_Tooltip_ability_chaos_knight_2_min_stun_duration" 		"最小眩晕时间："
"DOTA_Tooltip_ability_chaos_knight_2_max_stun_duration" 		"最大眩晕时间："
"DOTA_Tooltip_ability_chaos_knight_2_physical2physical"			"%基础伤害：物理攻击*"
"DOTA_Tooltip_ability_chaos_knight_3" "骑士冲锋"
"DOTA_Tooltip_ability_chaos_knight_3_Description" 					"从地狱召唤骑士向前冲锋，对路径上的敌人造成伤害，同时使所有友军获得冲锋状态。\n<h1>冲锋</h1>获得移速和物理攻击提升，移速可以突破上限，加成将不断衰减。"
"DOTA_Tooltip_ability_chaos_knight_3_abilityduration" 				"冲锋状态持续时间："
"DOTA_Tooltip_ability_chaos_knight_3_max_movespeed_pct" 			"%冲锋最大速度提升："
"DOTA_Tooltip_ability_chaos_knight_3_move_speed_bonus_pct" 			"%冲锋最小速度提升："
"DOTA_Tooltip_ability_chaos_knight_3_damage_bonus_pct" 				"%物理攻击提升：移动速度/150*"
"DOTA_Tooltip_ability_chaos_knight_3_distance"						"冲锋距离："
"DOTA_Tooltip_ability_chaos_knight_3_physical2physical" 			"%冲锋伤害：物理攻击*"
"DOTA_Tooltip_modifier_chaos_knight_3_buff" 						"骑士冲锋"
"DOTA_Tooltip_modifier_chaos_knight_3_buff_Description" 			"移动速度提高%dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%，攻击力提高%dMODIFIER_PROPERTY_TOOLTIP%%%"

// 金羽刺客
"DOTA_Tooltip_ability_lanaya_1" "虚空幻影"
"DOTA_Tooltip_ability_lanaya_1_Description" 						"在离自身最远的敌人身后产生虚空幻影，幻影有%critical_chance%%%概率造成%critical_damage%%%伤害。"
"DOTA_Tooltip_ability_lanaya_1_range" 								"作用范围："
"DOTA_Tooltip_ability_lanaya_1_illusion_outgoing_damage" 		"%幻影继承攻击力："
"DOTA_Tooltip_ability_lanaya_1_Lore" 								"- 幻影会持续攻击同一敌人，直到目标死亡"
"DOTA_Tooltip_ability_lanaya_2" "星界穿行"
"DOTA_Tooltip_ability_lanaya_2_Description" 						"金羽刺客和打出暴击的幻影互换位置，对攻击路径上的敌人并且附带额外的穿行伤害。触发后金羽刺客还会开启折光效果。\n<h1>折光</h1>免疫一定次数的任何伤害。"
"DOTA_Tooltip_ability_lanaya_2_instances" 							"折光次数："
"DOTA_Tooltip_ability_lanaya_2_pathway_damage" 						"%星界穿行伤害：物理攻击*"
"DOTA_Tooltip_ability_lanaya_2_Lore" 								"- 星界穿行会在攻击中附加两次穿行伤害：一次魔法，一次纯粹"
"DOTA_Tooltip_modifier_lanaya_2_self_buff" "折光"
"DOTA_Tooltip_modifier_lanaya_2_self_buff_Description" "抵挡所有伤害"
"DOTA_Tooltip_ability_lanaya_3"                             "刺客信条"
"DOTA_Tooltip_ability_lanaya_3_Description" 				"提升金羽刺客和所有虚空幻影的暴击概率和暴击伤害。"
"DOTA_Tooltip_ability_lanaya_3_critical_bonus_chance" 		"%暴击概率："
"DOTA_Tooltip_ability_lanaya_3_critical_bonus_damage_pct" 	"%暴击伤害："
"DOTA_Tooltip_modifier_lanaya_3"                            "刺客信条"
"DOTA_Tooltip_modifier_lanaya_3_Description"                "提高%dMODIFIER_PROPERTY_TOOLTIP%%%暴击概率和%dMODIFIER_PROPERTY_TOOLTIP%%%暴击伤害"


// 风铃游侠
"DOTA_Tooltip_ability_windrunner_1" 					"穿云箭"
"DOTA_Tooltip_ability_windrunner_1_Description" 		"张弓满弦射出一支强力箭矢，对路径上的敌人造成伤害。每击中一个敌人伤害都会提升。"
"DOTA_Tooltip_ability_windrunner_1_physical2physical" 	"%基础伤害：物理攻击*"
"DOTA_Tooltip_ability_windrunner_1_damage_add_per" 		"%额外伤害：基础伤害*"
"DOTA_Tooltip_ability_windrunner_2" 					"清风之径"
"DOTA_Tooltip_ability_windrunner_2_Description" 		"强力击回复路径上友方的生命值，同时回复一定法力值。"
"DOTA_Tooltip_ability_windrunner_2_hp_regain_per"		"%回复生命值："
"DOTA_Tooltip_ability_windrunner_2_mp_regain" 			"回复法力值：击中敌人数*"
"DOTA_Tooltip_ability_windrunner_3" 					"白弓"
"DOTA_Tooltip_ability_windrunner_3_Description" 		"每攻击数次，给予所有友方短暂的攻击速度提升。"
"DOTA_Tooltip_ability_windrunner_3_attack_count" 		"攻击次数："
"DOTA_Tooltip_ability_windrunner_3_attackspeed_add" 	"攻击速度提升："
"DOTA_Tooltip_ability_windrunner_3_duration" 			"持续时间："
"DOTA_Tooltip_modifier_windrunner_3" 					"白弓"
"DOTA_Tooltip_modifier_windrunner_3_Description"		"攻击一定次数后，给予己方攻击速度提升"
"DOTA_Tooltip_modifier_windrunner_3_buff" 				"白弓"
"DOTA_Tooltip_modifier_windrunner_3_buff_Description"	"提升%dMODIFIER_PROPERTY_TOOLTIP%攻击速度"

// 黑风游侠
"DOTA_Tooltip_ability_drow_1" 							"邪箭"
"DOTA_Tooltip_ability_drow_1_Description" 				"普攻附加额外伤害并使敌人陷入黑暗，敌人会被恐惧并且死亡时回复黑风游侠的法力值。"
"DOTA_Tooltip_ability_drow_1_phy_attack_pct"            "%基础伤害：物理攻击*"
"DOTA_Tooltip_ability_drow_1_attack_speed_damage_per" 	"%额外伤害：攻击速度*"
"DOTA_Tooltip_ability_drow_1_mana_regain" 				"回复法力值："
"DOTA_Tooltip_ability_drow_1_duration" 					"恐惧时间："
"DOTA_Tooltip_modifier_drow_1_buff" 					"邪箭"
"DOTA_Tooltip_modifier_drow_1_buff_Description" 		"被游侠的邪箭所侵蚀"
"DOTA_Tooltip_ability_drow_2" 							"黑风箭雨"
"DOTA_Tooltip_ability_drow_2_Description" 				"以爆发性攻速向目标区域射出箭雨。黑风游侠每次释放箭雨，都会获得1层速射。\n <h1>速射</h1>永久提升攻速。"
"DOTA_Tooltip_ability_drow_2_range" 					"作用范围："
"DOTA_Tooltip_ability_drow_2_count" 					"箭矢数量："
"DOTA_Tooltip_ability_drow_2_duration" 					"射击时间："
"DOTA_Tooltip_ability_drow_2_attack_speed_add" 			"攻击速度提升："
"DOTA_Tooltip_modifier_drow_2" 							"速射"
"DOTA_Tooltip_modifier_drow_2_Description"				"永久提升%dMODIFIER_PROPERTY_TOOLTIP%点攻击速度"
"DOTA_Tooltip_ability_drow_3" 							"黑弓"
"DOTA_Tooltip_ability_drow_3_Description" 				"每攻击数次，给予所有友方短暂的暴击能力。"
"DOTA_Tooltip_ability_drow_3_attack_count" 				"攻击次数："
"DOTA_Tooltip_ability_drow_3_attack_crit_change" 		"%暴击概率："
"DOTA_Tooltip_ability_drow_3_attack_crit_damge" 		"%暴击伤害："
"DOTA_Tooltip_ability_drow_3_duration" 					"持续时间："
"DOTA_Tooltip_modifier_drow_3" 							"黑弓"
"DOTA_Tooltip_modifier_drow_3_Description"				"攻击一定次数后，给予己方攻击暴击"
"DOTA_Tooltip_modifier_drow_3_buff" 					"黑弓"
"DOTA_Tooltip_modifier_drow_3_buff_Description"			"普通攻击时，有%dMODIFIER_PROPERTY_TOOLTIP2%%%概率造成%dMODIFIER_PROPERTY_TOOLTIP%%%伤害"

// 暗月刺客
"DOTA_Tooltip_ability_darkmoon_assassin_1" 							"月影匕首"
"DOTA_Tooltip_ability_darkmoon_assassin_1_Description" 				"扔出一把月影匕首，命中目标后造成一次攻击并附加纯粹伤害，然后瞬移到敌人身后，获得攻速提升。"
"DOTA_Tooltip_ability_darkmoon_assassin_1_pure_factor" 				"%附加伤害：物理攻击力*"
"DOTA_Tooltip_ability_darkmoon_assassin_1_attackspeed_pct" 			"%攻击速度提升："
"DOTA_Tooltip_ability_darkmoon_assassin_1_abilityduration" 			"持续时间："
"DOTA_Tooltip_modifier_darkmoon_assassin_1_buff" 					"月影匕首"
"DOTA_Tooltip_modifier_darkmoon_assassin_1_buff_Description" 		"获得%dMODIFIER_PROPERTY_TOOLTIP%%%攻速提升"
"DOTA_Tooltip_ability_darkmoon_assassin_2" 							"月光绝命斩"
"DOTA_Tooltip_ability_darkmoon_assassin_2_Description" 				"暗月刺客扔出匕首后散出一圈刀刃，短暂延迟后刀刃会汇聚向暗月刺客。"
"DOTA_Tooltip_ability_darkmoon_assassin_2_dagger_count" 			"刀刃数量："
"DOTA_Tooltip_ability_darkmoon_assassin_2_physical_factor" 		"%刀刃伤害：物理攻击力*"
"DOTA_Tooltip_ability_darkmoon_assassin_3" 							"月光绝命斩"
"DOTA_Tooltip_ability_darkmoon_assassin_3_Description"				"暗月刺客的攻击与技能有一定几率造成暴击。"
"DOTA_Tooltip_ability_darkmoon_assassin_3_crit_chance" 				"%暴击概率："
"DOTA_Tooltip_ability_darkmoon_assassin_3_crit_damage_pct" 			"%暴击伤害："

// 陈
"DOTA_Tooltip_ability_chen_1" 						"劝化"
"DOTA_Tooltip_ability_chen_1_Description" 			"对敌方单位造成伤害，如果目标是小怪则额外造成基于已损失生命值的神圣伤害。\n<h1>规劝</h1>如果劝化杀死小怪，则它会变为传道者的召唤物。"
"DOTA_Tooltip_ability_chen_1_max_count" 			"规劝小怪上限："
"DOTA_Tooltip_ability_chen_1_health_pct" 		    "%劝化怪物生命值："
"DOTA_Tooltip_ability_chen_1_magical2magical" 		"%魔法攻击伤害加成："
"DOTA_Tooltip_ability_chen_1_Lore"           		"- 精英、宝箱、首领无法被劝化成友方单位。<br></br>- 劝化怪物的攻击力和生命值继承传道者自身的攻击力和生命值。"
"DOTA_Tooltip_modifier_chen_1_buff" 				"劝化"
"DOTA_Tooltip_modifier_chen_1_buff_Description" 	"劝化怪的魔法攻击力增加"
"DOTA_Tooltip_ability_chen_2" 						"召回"
"DOTA_Tooltip_ability_chen_2_Description" 			"当友军血量百分比降到阈值以下时，延迟数秒后被传道者召回至初始位置并回复至满血。"
"DOTA_Tooltip_ability_chen_2_trigger_pct" 			"%触发血量百分比："
"DOTA_Tooltip_ability_chen_2_delay" 				"延迟时间："
"DOTA_Tooltip_modifier_chen_2_buff" 				"召回"
"DOTA_Tooltip_modifier_chen_2_buff_Description" 	"传道者正在召回该单位"
"DOTA_Tooltip_ability_chen_3" 						"圣光"
"DOTA_Tooltip_ability_chen_3_Description" 			"为所有友方单位回复生命值，场上每个存活友方单位都会增加治疗量。"
"DOTA_Tooltip_ability_chen_3_heal_pct" 				"%基础生命回复：魔法攻击*"
"DOTA_Tooltip_ability_chen_3_heal_increase" 		"%每个单位增加治疗量："

// 预兆者
"DOTA_Tooltip_ability_oracle_1" 				"虚妄之诺"
"DOTA_Tooltip_ability_oracle_1_Description" 	"对目标造成持续伤害。使目标受到的大部分伤害暂时储存起来，并在结束时产生爆炸，将储存的伤害平摊给周围所有敌人。"
"DOTA_Tooltip_ability_oracle_1_abilityduration" "无敌持续时间："
"DOTA_Tooltip_ability_oracle_1_radius"			"爆炸范围："
"DOTA_Tooltip_ability_oracle_1_magical_factor"	"%爆炸基础伤害：魔法攻击*"
"DOTA_Tooltip_ability_oracle_1_damage_factor"			"%爆炸额外伤害：敌人承受伤害*"
"DOTA_Tooltip_ability_oracle_1_magical_attack_pct"			"%每秒伤害：魔法攻击*"
"DOTA_Tooltip_modifier_oracle_1_buff"						"虚妄之诺"
"DOTA_Tooltip_modifier_oracle_1_buff_Description"			"无敌一段时间，随后产生爆炸"
