"DOTA_Tooltip_modifier_star_indicator" 		"STAR"
"DOTA_Tooltip_modifier_sven_3_buff_Description" "Adding %dMODIFIER_PROPERTY_TOOLTIP% pure damage to each attack."

//Captain Undead
"DOTA_Tooltip_ability_kunkkaB_1" "Firearm"
//"DOTA_Tooltip_ability_kunkkaB_1_Description" "Adds a Freezing effect to Captain Undead's attacks, slowing enemy movement and stealing attack speed."
"DOTA_Tooltip_ability_kunkkaB_1_Description"                    "Captain Undead use firearm to deal damage in large range, reduce its physical armor and movespeed temporarily"
"DOTA_Tooltip_ability_kunkkaB_1_abilityduration"                "Duration: "
"DOTA_Tooltip_ability_kunkkaB_1_physical2physical"              "%Damage:Physical Attack*"
"DOTA_Tooltip_ability_kunkkaB_1_armor_reduce"                   "Physical Armor reduce:"
"DOTA_Tooltip_ability_kunkkaB_1_distance"                       "Max Distance"
"DOTA_Tooltip_ability_kunkkaB_1_speed_reduce"                   "%Attack Speed and Movespeed Reduce:"
"DOTA_Tooltip_modifier_kunkkaB_1_debuff"						"Firearm"
"DOTA_Tooltip_modifier_kunkkaB_1_debuff_Description"			"Reduce physical armor due to Firearm"
"DOTA_Tooltip_ability_kunkkaB_2" "Ghostship"
"DOTA_Tooltip_ability_kunkkaB_2_Description" "Summons a ghostly ship that sails through the battle before smashing apart, damaging and stunning all enemies caught near the wreckage. Damage is doubled on the enemies under Freezing effect."
"DOTA_Tooltip_ability_kunkkaB_2_stun_radius" 		"Radius: "
"DOTA_Tooltip_ability_kunkkaB_2_damage_factor" 		"%Damage: Physical Damage*"
"DOTA_Tooltip_ability_kunkkaB_2_abilityduration" 	"Stun Duration: "
"DOTA_Tooltip_ability_kunkkaB_3" "Tidebringer"
"DOTA_Tooltip_ability_kunkkaB_3_Description" "Summons a torrent with the next attack, dealing damage and applying Freezing effect.<br><br>Captain Undead gains bonus attack speed while in cooldown"
"DOTA_Tooltip_ability_kunkkaB_3_distance"               "Max distance: "
"DOTA_Tooltip_ability_kunkkaB_3_physical2physical"      "%Damage: Physical Damage*"
"DOTA_Tooltip_ability_kunkkaB_3_abilityduration"        "Freezing Duration: "
"DOTA_Tooltip_ability_kunkkaB_3_attackspeed"            "Bonus Attack Speed:"

//Juggernaut 
"DOTA_Tooltip_ability_juggernaut_1" "Swiftslash"
"DOTA_Tooltip_ability_juggernaut_1_Description" "Juggernaut leaps forwards and rapidly slashes the enemies in his path, and gains bonus attack speed for a while."
"DOTA_Tooltip_ability_juggernaut_1_distance" "Slash radius: "
"DOTA_Tooltip_ability_juggernaut_1_crit_mult" "%Crit Damage: "
"DOTA_Tooltip_ability_juggernaut_1_attackspeed" "Bonus Attack Speed: "
"DOTA_Tooltip_ability_juggernaut_1_abilityduration" "Duration: "
"DOTA_Tooltip_ability_juggernaut_1_Lore" "-When an enemy is killed by Swiftslash, its cooldown is reset."
"DOTA_Tooltip_modifier_juggernaut_1_buff"						"Swiftslash"
"DOTA_Tooltip_modifier_juggernaut_1_buff_Description"			"Increased %dMODIFIER_PROPERTY_TOOLTIP% attack speed"
"DOTA_Tooltip_ability_juggernaut_2" "Blade Dance"
"DOTA_Tooltip_ability_juggernaut_2_Description" "Juggernaut improved his skills by practicing. Number of slashes of next Swiftslash is multiplied after every %unlock_count% practices."
"DOTA_Tooltip_ability_juggernaut_2_slash_count" "Number of slashes: "
"DOTA_Tooltip_modifier_juggernaut_2"						"Blade Dance"
"DOTA_Tooltip_modifier_juggernaut_2_Description"			"Pocs after several uses of Swiftslash."
"DOTA_Tooltip_ability_juggernaut_3" "Blade Fury"
"DOTA_Tooltip_ability_juggernaut_3_Description" "Juggernaut goes into a frenzy for %abilityduration% seconds, attacking rapidly and reflecting all the damage taken within the duration."
"DOTA_Tooltip_ability_juggernaut_3_interval" "Attack Interval: "
"DOTA_Tooltip_ability_juggernaut_3_radius" "Radius: "
"DOTA_Tooltip_ability_juggernaut_3_physical_factor" "%Damage: Damage Taken*"
"DOTA_Tooltip_ability_juggernaut_3_Lore" "-Only reflects ranged physical attacks"
"DOTA_Tooltip_modifier_juggernaut_3_buff"						"Blade Fury"
"DOTA_Tooltip_modifier_juggernaut_3_buff_Description"			"Reflecting damage"

//Faceless Void
"DOTA_Tooltip_ability_faceless_void_1" "Time Lock"
"DOTA_Tooltip_ability_faceless_void_1_Description" "Adds the chance for an attack to lock an enemy unit in time, stunning it and dealing bonus damage."
"DOTA_Tooltip_ability_faceless_void_1_chance" "%Chance: "
"DOTA_Tooltip_ability_faceless_void_1_physical2physical" "%Damage: Physical Attack*"
"DOTA_Tooltip_ability_faceless_void_1_abilityduration" "Stun Duration: "
"DOTA_Tooltip_modifier_lock"						"Time Lock"
"DOTA_Tooltip_modifier_lock_Description"			"Locked in time."
"DOTA_Tooltip_ability_faceless_void_2" "Mace of Thunder"
"DOTA_Tooltip_ability_faceless_void_2_Description" "When Faceless Void procs Time Lock, he also hurls a bolt of lightning that leaps through nearby enemy units."
"DOTA_Tooltip_ability_faceless_void_2_physical2magical" "%Lightning Damage: Physical Attack*"
"DOTA_Tooltip_ability_faceless_void_2_jump_count"       "Leap amounts:"
"DOTA_Tooltip_ability_faceless_void_2_jump_radius"      "Radius:"
"DOTA_Tooltip_ability_faceless_void_3" "Time Walk"
"DOTA_Tooltip_ability_faceless_void_3_Description" "Rushes to a target location while backtracking any damage taken in the last few seconds, and applies a time lock to enemies around."
"DOTA_Tooltip_ability_faceless_void_3_radius" "Radius: "
"DOTA_Tooltip_ability_faceless_void_3_restore_time" "Backtracked Time: "

//Asteroid Hermit
"DOTA_Tooltip_ability_anti_mage_1" "Magic Devourer"
"DOTA_Tooltip_ability_anti_mage_1_Description" "Purges the target that he attacks, dealing bonus damage and expanding Asteroid Hermit's mana pool."
"DOTA_Tooltip_ability_anti_mage_1_mana_bonus_pct" "%Bonus damage: Mana Pool Capacity*"
"DOTA_Tooltip_ability_anti_mage_1_mana_regain" "Mana Pool capacity expanding: "
"DOTA_Tooltip_ability_anti_mage_1_mana_recover_pct" "%Mana restoration every attack："
"DOTA_Tooltip_modifier_anti_mage_1" "Mana Devoured"
"DOTA_Tooltip_modifier_anti_mage_1_Description" "Mana pool expanded."
"DOTA_Tooltip_ability_anti_mage_2" "Full Moon"
"DOTA_Tooltip_ability_anti_mage_2_Description" "Blinks towards an enemy, dealing damage around and creating a shield for nearby allies."
"DOTA_Tooltip_ability_anti_mage_2_radius" "Radius: "
"DOTA_Tooltip_ability_anti_mage_2_mana_rate_damage" "Damage: Mana Pool Capacity*"
"DOTA_Tooltip_ability_anti_mage_2_mana_rate_armor" 	"Shield: Mana Pool Capacity*"
"DOTA_Tooltip_ability_anti_mage_2_stun_duration" "Stun Duration: "
"DOTA_Tooltip_modifier_anti_mage_2_break" "Full Moon"
"DOTA_Tooltip_modifier_anti_mage_2_break_Description" "Absorbing %dMODIFIER_PROPERTY_TOOLTIP% damage."
"DOTA_Tooltip_ability_anti_mage_3" "New Moon"
"DOTA_Tooltip_ability_anti_mage_3_Description" "Asteroid Hermit detonates the void, damaging and stunning the enemies around him."
"DOTA_Tooltip_ability_anti_mage_3_radius" "Radius: "
"DOTA_Tooltip_ability_anti_mage_3_stun_duration" "Stun Duration: "
"DOTA_Tooltip_ability_anti_mage_3_mana_damage_pct" "%Damage: Mana Pool Capacity*Physical Damage*"

//Lina
"DOTA_Tooltip_ability_lina_1" "Pyroblast"
"DOTA_Tooltip_ability_lina_1_Description" "After several attacks, Lina hurls a fiery ball that causes damage in its path."
"DOTA_Tooltip_ability_lina_1_attack_count" "Attack counts: "
"DOTA_Tooltip_ability_lina_1_magical2magical" "%Damage: Magical Attack*"
"DOTA_Tooltip_ability_lina_1_dragon_slave_distance" "Distance: "
"DOTA_Tooltip_ability_lina_2" "Don d'Héphaïstos"
"DOTA_Tooltip_ability_lina_2_Description" "Awakens the inheritance of Hephaestus in her blood, creating a Maze of Light Strike Arrays that damages and stuns enemies in the targeted area and increasing Lina's attack speed."
"DOTA_Tooltip_ability_lina_2_aoe_radius" "Radius: "
"DOTA_Tooltip_ability_lina_2_magical2magical" "%Damage: Magical Attack*"
"DOTA_Tooltip_ability_lina_2_stun_duration" "Stun duration: "
"DOTA_Tooltip_ability_lina_2_attackspeed" "Bonus Attack Speed: "
"DOTA_Tooltip_ability_lina_2_abilityduration" "Buff duration: "
"DOTA_Tooltip_ability_lina_3" "Blaze of Havoc"
"DOTA_Tooltip_ability_lina_3_Description" 		"Lina gains a chance to spell fires off Blaze of Havoc at an enemy on base attack, dealing massive damage. "
"DOTA_Tooltip_ability_lina_3_magical2magical" 	"%Damage: Magical Damage*"
"DOTA_Tooltip_ability_lina_3_chance" 		    "%Chance:"

//Celestial Spirit
"DOTA_Tooltip_ability_vengeful_spirit_1" "Celestial Aura"
"DOTA_Tooltip_ability_vengeful_spirit_1_Description" "Celestial Spirit's attack deals extra Physical Damage based on the HP loss of her target."
"DOTA_Tooltip_ability_vengeful_spirit_1_reduce_health_pct" 	"%HP Loss Factor: " 
"DOTA_Tooltip_ability_vengeful_spirit_1_max_damage" "Max Extra Damage: "
"DOTA_Tooltip_ability_vengeful_spirit_2" "Nether Gate"
"DOTA_Tooltip_ability_vengeful_spirit_2_Description" "Summons a Nether Gate in front of Celestial Spirit, leading her enemies to the infinite universe, reducing their movement speed and armor."
"DOTA_Tooltip_ability_vengeful_spirit_2_duration" "Duration: "
"DOTA_Tooltip_ability_vengeful_spirit_2_length" "Nether Gate Width: "
"DOTA_Tooltip_ability_vengeful_spirit_2_slow_duration" "Slow Duration: "
"DOTA_Tooltip_ability_vengeful_spirit_2_slow_pct" "%Move speed slow: "
"DOTA_Tooltip_ability_vengeful_spirit_2_physical_armor_reduce_pct" "%Armor Reduction: "
"DOTA_Tooltip_modifier_vengeful_spirit_2_debuff" "Nether Gate"
"DOTA_Tooltip_modifier_vengeful_spirit_2_debuff_Description" "Armor reduced by %dMODIFIER_PROPERTY_TOOLTIP%%%."
"DOTA_Tooltip_modifier_vengeful_spirit_2_debuff_slow" "Nether Gate"
"DOTA_Tooltip_modifier_vengeful_spirit_2_debuff_slow_Description" "Slowed by %dMODIFIER_PROPERTY_TOOLTIP%%%."
"DOTA_Tooltip_ability_vengeful_spirit_3" "Courage of Stellar"
"DOTA_Tooltip_ability_vengeful_spirit_3_Description" "Increases the corresponding armor according to the type of damage received."
"DOTA_Tooltip_ability_vengeful_spirit_3_physical_armor_bonus" "Physical armor Increment: "
"DOTA_Tooltip_ability_vengeful_spirit_3_magical_armor_bonus" "Magic armor Increment: "
"DOTA_Tooltip_modifier_vengeful_spirit_3_physical_armor" "Courage of Stellar"
"DOTA_Tooltip_modifier_vengeful_spirit_3_physical_armor_Description" "Physical armor increased by %dMODIFIER_PROPERTY_TOOLTIP%."
"DOTA_Tooltip_modifier_vengeful_spirit_3_magical_armor" "Courage of Stellar"
"DOTA_Tooltip_modifier_vengeful_spirit_3_magical_armor_Description" "Magic armor increased by%dMODIFIER_PROPERTY_TOOLTIP%."

//Chaos Knight
"DOTA_Tooltip_ability_chaos_knight_1" "Chaos Strike"
"DOTA_Tooltip_ability_chaos_knight_1_Description" 	"Chaos Knight's attacks have a chance to deal a critical strike of varying strength, in addition to a lifesteal for percentage of the damage."
"DOTA_Tooltip_ability_chaos_knight_1_chance" 	"%Proc Chance: "
"DOTA_Tooltip_ability_chaos_knight_1_crit_mult_min" 	"%Min Critical Damage: "
"DOTA_Tooltip_ability_chaos_knight_1_crit_mult_max" 	"%Max Critical Damage: "
"DOTA_Tooltip_ability_chaos_knight_1_lifesteal_pct" 	"%Lifesteal: "
"DOTA_Tooltip_ability_chaos_knight_2" "Chaos Bolt"
"DOTA_Tooltip_ability_chaos_knight_2_Description" 	"Throws a random number of mysterious bolts of energy at nearby enemies, stunning for a random duration and dealing random damage."
"DOTA_Tooltip_ability_chaos_knight_2_min_count" 				"Min Bolt Counts: "
"DOTA_Tooltip_ability_chaos_knight_2_max_count" 				"Max Bolt Counts: "
"DOTA_Tooltip_ability_chaos_knight_2_damage_pct" 				"%Min Bonus Damage: Physical Damage *"
"DOTA_Tooltip_ability_chaos_knight_2_damage_pct_d" 				"%Max Bonus Damage: Physical Damage *"
"DOTA_Tooltip_ability_chaos_knight_2_min_stun_duration" 		"Min Stun Duration: "
"DOTA_Tooltip_ability_chaos_knight_2_max_stun_duration" 		"Max Stun Duration: "
"DOTA_Tooltip_ability_chaos_knight_2_physical2physical"			"%Base Damege：Physical Damage *"
"DOTA_Tooltip_ability_chaos_knight_3" "Knight's Charge"
"DOTA_Tooltip_ability_chaos_knight_3_Description" 					"Summons several phantasmal copies of the Chaos Knight from alternate dimensions and leads all allies into a vicious charge. The phantasms deals damage to all enemies in their path.\n<h1>Knight's Charge</h1>Increases movement speed and physical damage."
"DOTA_Tooltip_ability_chaos_knight_3_abilityduration" 				"Charge Duration: "
"DOTA_Tooltip_ability_chaos_knight_3_max_movespeed_pct" 			"%Max Move Speed Increment: "
"DOTA_Tooltip_ability_chaos_knight_3_move_speed_bonus_pct" 			"%Min Move Speed Increment: "
"DOTA_Tooltip_ability_chaos_knight_3_damage_bonus_pct" 				"%Physical Damage: Move Speed/150*"
"DOTA_Tooltip_ability_chaos_knight_3_distance"						"Charge distance: "
"DOTA_Tooltip_ability_chaos_knight_3_physical2physical" 			"%Damage: Physical Damage*"
//"DOTA_Tooltip_ability_chaos_knight_3_Lore" 							"-Sudden Boost: the buff decays over time"
"DOTA_Tooltip_modifier_chaos_knight_3_buff" 						"Knight's Charge"
"DOTA_Tooltip_modifier_chaos_knight_3_buff_Description" 			"Movement speed increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, Physical damage increased by %dMODIFIER_PROPERTY_TOOLTIP%%%."

// 食人魔巫祝
// "DOTA_Tooltip_ability_orge_lrg_1" "冰霜护甲"
// "DOTA_Tooltip_ability_orge_lrg_1_Description" "释放冰甲，增加双防，减少攻击者攻速。优先给施法范围内血最多的友方放。"
// "DOTA_Tooltip_ability_orge_lrg_1_duration" "Duration: "
// "DOTA_Tooltip_ability_orge_lrg_1_debuff_duration" "攻速减少持续时间："
// "DOTA_Tooltip_ability_orge_lrg_1_physical_armor_bonus_pct" "%+物理护甲"
// "DOTA_Tooltip_ability_orge_lrg_1_physical_magical_armor_bonus_pct" "%+魔法护甲"
// "DOTA_Tooltip_modifier_orge_lrg_1_buff" "冰霜护甲"
// "DOTA_Tooltip_modifier_orge_lrg_1_buff_Description" "受到攻击时减少敌人攻击速度。物理护甲增加%dMODIFIER_PROPERTY_TOOLTIP%%%，魔法护甲增加%dMODIFIER_PROPERTY_TOOLTIP2%%%。"
// "DOTA_Tooltip_modifier_orge_lrg_1_debuff" "冰霜护甲减速"
// "DOTA_Tooltip_modifier_orge_lrg_1_debuff_Description" "攻击速度减少%dMODIFIER_PROPERTY_TOOLTIP%%%。"
// "DOTA_Tooltip_ability_orge_lrg_2" "巨大化"
// "DOTA_Tooltip_ability_orge_lrg_2_Description" "使套上冰甲的单位额外增加血量上限，并降低周围敌方单位的移动速度。"
// "DOTA_Tooltip_ability_orge_lrg_2_health_bonus" "+血量上限"
// "DOTA_Tooltip_ability_orge_lrg_2_radius" "减速范围："
// "DOTA_Tooltip_ability_orge_lrg_2_move_speed_slow_pct" "%减速："
// "DOTA_Tooltip_modifier_orge_lrg_2_buff" "巨大化"
// "DOTA_Tooltip_modifier_orge_lrg_2_buff_Description" "血量上限增加%dMODIFIER_PROPERTY_EXTRA_HEALTH_BONUS%。"
// "DOTA_Tooltip_modifier_orge_lrg_2_debuff" "冰霜护甲巨大化减速"
// "DOTA_Tooltip_modifier_orge_lrg_2_debuff_Description" "移动速度减少%dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%。"
// "DOTA_Tooltip_ability_orge_lrg_3" "霜寒领域"
// "DOTA_Tooltip_ability_orge_lrg_3_Description" "释放冰甲的同时，每%interval%秒对周围敌人造成伤害"
// "DOTA_Tooltip_ability_orge_lrg_3_radius" "伤害范围："
// "DOTA_Tooltip_ability_orge_lrg_3_magical2magical" "%魔攻伤害："
// "DOTA_Tooltip_modifier_orge_lrg_3" "霜寒领域"
// "DOTA_Tooltip_modifier_orge_lrg_3_Description" "对周围敌人造成伤害。"

// 寂静拥抱
// "DOTA_Tooltip_ability_silencer_1" "净化"
// "DOTA_Tooltip_ability_silencer_1_Description" "清除%radius%范围内敌人的正面BUFF和自身负面BUFF。每清除一个Buff，回复%health_regen_pct%%%最大生命值。"
// "DOTA_Tooltip_ability_silencer_2" "召唤沉寂者"
// "DOTA_Tooltip_ability_silencer_2_Description" "消耗自身%cost_max_health_pct%%%最大生命值召唤“丧钟沉寂者”，如果因此自己死亡，沉寂者会获得%summon_attack_bonus_pct%%%物理攻击增强。<br />丧钟沉寂者：攻击敌人会让目标沉默，该单位死亡后会沉默周围所有敌方单位。"
// "DOTA_Tooltip_modifier_silencer_2_summon_buff" "沉寂者增强"
// "DOTA_Tooltip_modifier_silencer_2_summon_buff_Description" "物理攻击提高%dMODIFIER_PROPERTY_TOOLTIP%%%"
// "DOTA_Tooltip_ability_silencer_3" "究极净化"
// "DOTA_Tooltip_ability_silencer_3_Description" "每释放一次净化，提高生命值上限，最多叠加%max_stack_count%次。"
// "DOTA_Tooltip_ability_silencer_3_maximum_health_bonus" "生命上限提高："
// "DOTA_Tooltip_modifier_silencer_3" "究极净化"
// "DOTA_Tooltip_modifier_silencer_3_Description" "生命上限提高%dMODIFIER_PROPERTY_EXTRA_HEALTH_BONUS%。"
// "DOTA_Tooltip_ability_silencer_summon_1" "丧钟沉寂者"
// "DOTA_Tooltip_ability_silencer_summon_1_Description" "攻击敌人会让目标沉默，该单位死亡后会沉默周围所有敌方单位。"
// "DOTA_Tooltip_ability_silencer_summon_1_duration" "沉默持续时间："
// "DOTA_Tooltip_ability_silencer_summon_1_radius" "沉默范围："

//Templar Assassin
"DOTA_Tooltip_ability_lanaya_1" "Phantom of Solomon"
"DOTA_Tooltip_ability_lanaya_1_Description" 						"Creates a templar illusion to attack the target unit. The illusion has a %critical_chance_pct%%% chance to deal %bonus_damages_times% bonus damage."
"DOTA_Tooltip_ability_lanaya_1_outgoing_damage_inheritate_pct" 		"%Damage: Physical Damage*"
"DOTA_Tooltip_ability_lanaya_1_max_illusion_limit" 					"Max Number of illusions: "
"DOTA_Tooltip_ability_lanaya_1_range" 								"Radius: "
"DOTA_Tooltip_ability_lanaya_1_Lore" 								"-Templar illusion will continue to attack the same enemy unit until the target dies."
"DOTA_Tooltip_ability_lanaya_2" "Secret Assassination"
"DOTA_Tooltip_ability_lanaya_2_Description" 						"Instantaneously swaps positions with a illusion that dealt Critical damage, damaing all enemies in her path and activating Refraction.\n<h1>Refraction</h1>Avoids the next few instances of damage taken."
"DOTA_Tooltip_ability_lanaya_2_damage_avoid_times" 					"Number of Instances: "
"DOTA_Tooltip_ability_lanaya_2_pathway_damage" 						"Damage: Physical Damage*"
"DOTA_Tooltip_ability_lanaya_2_Lore" 								"-Secret Assassination will damage enemies twice, the second time deals Pure damage."
"DOTA_Tooltip_modifier_lanaya_2_self_buff" "Refraction"
"DOTA_Tooltip_modifier_lanaya_2_self_buff_Description" "Avoids the next %dMODIFIER_PROPERTY_TOOLTIP% instances of damage taken."
"DOTA_Tooltip_ability_lanaya_3" "Assassin's Creed"
"DOTA_Tooltip_ability_lanaya_3_Description" 				"Passively increases Templar Assassin and her illusions' Critical damage and chance."
"DOTA_Tooltip_ability_lanaya_3_critical_bonus_chance" 		"%Crit Chance: "
"DOTA_Tooltip_ability_lanaya_3_critical_bonus_damage_pct" 	"%Crit Damage: "
"DOTA_Tooltip_modifier_lanaya_3" "Assassin's Creed"
"DOTA_Tooltip_modifier_lanaya_3_Description" "Critical damage and chance increased."


//Wind Ranger
"DOTA_Tooltip_ability_windrunner_1" 					"Powershot"
"DOTA_Tooltip_ability_windrunner_1_Description" 		"Windranger launches a single powerful shot, damaging enemies along its path. For each enemy that Powershot hits, its damage is increased."
"DOTA_Tooltip_ability_windrunner_1_physical2physical" 	"%Base Damage: Physical Attack*"
"DOTA_Tooltip_ability_windrunner_1_damage_add_per" 		"%Bonus Damage: Base Damage*"
//"DOTA_Tooltip_ability_windrunner_1_damage_add_max_per"  "%Max Bonus Damage: "
"DOTA_Tooltip_ability_windrunner_2" 					"Path of Breeze"
"DOTA_Tooltip_ability_windrunner_2_Description" 		"Powershot heals allies along its path and restores some of Wind Ranger's mana."
"DOTA_Tooltip_ability_windrunner_2_hp_regain_per"		"%Heal: "
"DOTA_Tooltip_ability_windrunner_2_mp_regain" 			"Mana Restoration: Enemy hits*"
"DOTA_Tooltip_ability_windrunner_3" 					"Bow Specialization"
"DOTA_Tooltip_ability_windrunner_3_Description" 		"After several attacks, Wind Ranger boosts her allies' attack speed for a while."
"DOTA_Tooltip_ability_windrunner_3_attack_count" 		"Attack counts: "
"DOTA_Tooltip_ability_windrunner_3_attackspeed_add" 	"Bonus Attack Speed: "
"DOTA_Tooltip_ability_windrunner_3_duration" 			"Duration: "
"DOTA_Tooltip_modifier_windrunner_3" 					"Bow Specialization"
"DOTA_Tooltip_modifier_windrunner_3_Description"		"Boosts allies after several attacks."
"DOTA_Tooltip_modifier_windrunner_3_buff" 				"Bow Specialization"
"DOTA_Tooltip_modifier_windrunner_3_buff_Description"	"Attack speed boosted by %dMODIFIER_PROPERTY_TOOLTIP%%%."

//Dark Ranger
"DOTA_Tooltip_ability_drow_1" 							"Wicked Arrow"
"DOTA_Tooltip_ability_drow_1_Description" 				"Adds a Terror effect to Dark Ranger's attacks. Affected enemies will be Terrorized and restore Dark Ranger's mana upon death."
"DOTA_Tooltip_ability_drow_1_phy_attack_pct"            "%Basic damage：Physical damage*"
"DOTA_Tooltip_ability_drow_1_attack_speed_damage_per" 	"%Bonus damage: Attack speed*"
"DOTA_Tooltip_ability_drow_1_mana_regain" 				"Mana restoration: "
"DOTA_Tooltip_ability_drow_1_duration" 					"Terror Duration: "
"DOTA_Tooltip_modifier_drow_1_buff" 					"Wicked Arrow"
"DOTA_Tooltip_modifier_drow_1_buff_Description" 		"Corroded by Dark Ranger's wicked power."
"DOTA_Tooltip_ability_drow_2" 							"Cursed Flurry"
"DOTA_Tooltip_ability_drow_2_Description" 				"Releases a flurry of arrows with an extreme speed, gainning a layer of <Rapid>.\n <h1>Rapid</h1>Permanently increases attack speed."
"DOTA_Tooltip_ability_drow_2_range" 					"Radius: "
"DOTA_Tooltip_ability_drow_2_count" 					"Arrow counts: "
"DOTA_Tooltip_ability_drow_2_duration" 					"Duration: "
"DOTA_Tooltip_ability_drow_2_attack_speed_add" 			"Attack speed increment: "
"DOTA_Tooltip_modifier_drow_2" 							"<Rapid>"
"DOTA_Tooltip_modifier_drow_2_Description"				"Attack speed increased by %dMODIFIER_PROPERTY_TOOLTIP% permanently."
"DOTA_Tooltip_ability_drow_3" 							"Marksmanship"
"DOTA_Tooltip_ability_drow_3_Description" 				"After several attacks, Dark Ranger grants her allies the ability of dealing critical damage for a while."
"DOTA_Tooltip_ability_drow_3_attack_count" 				"Attack counts: "
"DOTA_Tooltip_ability_drow_3_attack_crit_change" 		"%Crit Chance: "
"DOTA_Tooltip_ability_drow_3_attack_crit_damge" 		"%Crit Damage: "
"DOTA_Tooltip_ability_drow_3_duration" 					"Duration: "
"DOTA_Tooltip_modifier_drow_3" 							"Marksmanship"
"DOTA_Tooltip_modifier_drow_3_Description"				"Strengthens allies after several attacks."
"DOTA_Tooltip_modifier_drow_3_buff" 					"Marksmanship"
"DOTA_Tooltip_modifier_drow_3_buff_Description"			"Has a %dMODIFIER_PROPERTY_TOOLTIP2%%% chance to deal %dMODIFIER_PROPERTY_TOOLTIP%%% Critical Damage."

//Darkmoon Assassin
"DOTA_Tooltip_ability_darkmoon_assassin_1" 							"Lunar Dagger"
"DOTA_Tooltip_ability_darkmoon_assassin_1_Description" 				"Throws a dagger at an enemy, dealing attack damage with bonus pure damage, then blinks to the target and grants bonus attack speed."
"DOTA_Tooltip_ability_darkmoon_assassin_1_pure_factor" 				"%Bonus Damage: Physical Damage*"
"DOTA_Tooltip_ability_darkmoon_assassin_1_attackspeed_pct" 			"%Bonus Attack Speed: "
"DOTA_Tooltip_ability_darkmoon_assassin_1_abilityduration" 			"Duration: "
"DOTA_Tooltip_ability_darkmoon_assassin_2" 							"Deadly Acrobatics"
"DOTA_Tooltip_ability_darkmoon_assassin_2_Description" 				"Releases daggers around, and after a short delay, these daggers returns to Darkmoon Assassin."
"DOTA_Tooltip_ability_darkmoon_assassin_2_dagger_count" 			"Number of Daggers: "
"DOTA_Tooltip_ability_darkmoon_assassin_2_physical_factor" 		    "%Damage: Physical Damage*"
"DOTA_Tooltip_ability_darkmoon_assassin_3" 							"Prey on the Weak"
"DOTA_Tooltip_ability_darkmoon_assassin_3_Description"				"Darkmoon Assassin refines her combat abilities, gaining a chance of delivering a devastating critical strike to enemy units."
"DOTA_Tooltip_ability_darkmoon_assassin_3_crit_chance" 				"%Chance: "
"DOTA_Tooltip_ability_darkmoon_assassin_3_crit_damage_pct" 			"%Crit Damage: "

//Chen
"DOTA_Tooltip_ability_chen_1" 						"Holy Persuasion"
"DOTA_Tooltip_ability_chen_1_Description" 			"Chen takes control of an enemy creep, getting its bounty instantly. Converted creeps will have bonus magical damage.<br>Holy Persuasion will only damage Elite and Boss enemies, but not converting them."
"DOTA_Tooltip_ability_chen_1_max_count" 			"Max Units:"
"DOTA_Tooltip_ability_chen_1_health_pct"  		    "%Creeps HP: "
"DOTA_Tooltip_ability_chen_1_magical2magical" 		"%Bonus Magical Damage: "
"DOTA_Tooltip_ability_chen_2" 						"Rapture"
"DOTA_Tooltip_ability_chen_2_Description" 			"After a short delay, Chen teleports and heals an ally to safety when its health is low."
"DOTA_Tooltip_ability_chen_2_trigger_pct" 			"%Threshold: "
"DOTA_Tooltip_ability_chen_2_delay" 				"Teleport Delay: "
"DOTA_Tooltip_ability_chen_3" 						"Hand of God"
"DOTA_Tooltip_ability_chen_3_Description" 			"Heals all allied units based on the number of allies."
"DOTA_Tooltip_ability_chen_3_heal_pct" 				"Heal: Magical Damage*"
"DOTA_Tooltip_ability_chen_3_heal_increase" 		"%Bonus Heal per unit: "

//Oracle
"DOTA_Tooltip_ability_oracle_1" 				"False Promise"
"DOTA_Tooltip_ability_oracle_1_Description" 	"Temporarily creates an illusion that the target enemy becomes invulnerable. The deceived enemy will explode after the illusion dissipated and deals area damage."
"DOTA_Tooltip_ability_oracle_1_abilityduration" "Invulnerable Duration: "
"DOTA_Tooltip_ability_oracle_1_radius"			"Explosion Radius: "
"DOTA_Tooltip_ability_oracle_1_magical_attack_pct"			"%Damage: Magical Attack*"
"DOTA_Tooltip_ability_oracle_1_magical_factor"	"%Explosion Base Damage: Magical Attack*"
"DOTA_Tooltip_ability_oracle_1_damage_factor"			"%Explosion Extra Damage: Damage Taken*"
"DOTA_Tooltip_modifier_oracle_1_buff"						"False Promise"
"DOTA_Tooltip_modifier_oracle_1_buff_Description"			"Intoxicated in the illusion that will lead it to death."
"DOTA_Tooltip_ability_oracle_2" 				"Reversal of Fortune"
"DOTA_Tooltip_ability_oracle_2_Description" 	"Instantly resurrect the ally that is killed, restoring a part of its health and dealing damage to the enemies arount it."
"DOTA_Tooltip_ability_oracle_2_health_regen_pct" 	"%Health Restoration: "
"DOTA_Tooltip_ability_oracle_2_damage_pct" 			"%Damage: HP Restored*"
"DOTA_Tooltip_ability_oracle_3" 				"Fate's Edict"
"DOTA_Tooltip_ability_oracle_3_Description" 	"Delays the death of an ally when it takes lethal damage, taunting nearby enemy units and damaging them when the death finally comes."
